"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TAXENV","POL","PC_GDP","A","2017",0.01692085849703,
"AUT","TAXENV","POL","PC_GDP","A","2018",0.02058424269186,
"AUT","TAXENV","POL","PC_GDP","A","2019",0.01745397726152,
"AUT","TAXENV","POL","PC_GDP","A","2020",0.01503459285166,
"BEL","TAXENV","POL","PC_GDP","A","2017",0.10351643323029,
"BEL","TAXENV","POL","PC_GDP","A","2018",0.10421072501081,
"BEL","TAXENV","POL","PC_GDP","A","2019",0.08419763415148,
"BEL","TAXENV","POL","PC_GDP","A","2020",0.09787851488184,
"CZE","TAXENV","POL","PC_GDP","A","2017",0.03738845766704,
"CZE","TAXENV","POL","PC_GDP","A","2018",0.0395467173699,
"CZE","TAXENV","POL","PC_GDP","A","2019",0.04004071868547,
"CZE","TAXENV","POL","PC_GDP","A","2020",0.04585262201002,
"DNK","TAXENV","POL","PC_GDP","A","2017",0.09584762155443,
"DNK","TAXENV","POL","PC_GDP","A","2018",0.09566344644522,
"DNK","TAXENV","POL","PC_GDP","A","2019",0.08229234212793,
"DNK","TAXENV","POL","PC_GDP","A","2020",0.0876396772476,
"FIN","TAXENV","POL","PC_GDP","A","2017",0.01414045886084,
"FIN","TAXENV","POL","PC_GDP","A","2018",0.01113642990759,
"FIN","TAXENV","POL","PC_GDP","A","2019",0.00875539943528,
"FIN","TAXENV","POL","PC_GDP","A","2020",0.00974444123546,
"GRC","TAXENV","POL","PC_GDP","A","2017",0.01554520807081,
"GRC","TAXENV","POL","PC_GDP","A","2018",0.01002463328689,
"GRC","TAXENV","POL","PC_GDP","A","2019",0.00491131258278,
"GRC","TAXENV","POL","PC_GDP","A","2020",0.00241945597769,
"HUN","TAXENV","POL","PC_GDP","A","2017",0.24168463806609,
"HUN","TAXENV","POL","PC_GDP","A","2018",0.22578589978593,
"HUN","TAXENV","POL","PC_GDP","A","2019",0.21522551112074,
"HUN","TAXENV","POL","PC_GDP","A","2020",0.2014129240399,
"ISL","TAXENV","POL","PC_GDP","A","2017",0.34183585278465,
"ISL","TAXENV","POL","PC_GDP","A","2018",0.18445096480353,
"ISL","TAXENV","POL","PC_GDP","A","2019",0.19115660089239,
"ISL","TAXENV","POL","PC_GDP","A","2020",0.20197036912692,
"IRL","TAXENV","POL","PC_GDP","A","2017",0.01494854508332,
"IRL","TAXENV","POL","PC_GDP","A","2018",0.00769254796032,
"IRL","TAXENV","POL","PC_GDP","A","2019",0.00484704807723,
"IRL","TAXENV","POL","PC_GDP","A","2020",0.00269928939561,
"ITA","TAXENV","POL","PC_GDP","A","2017",0.06860848583037,
"ITA","TAXENV","POL","PC_GDP","A","2018",0.06712464336594,
"ITA","TAXENV","POL","PC_GDP","A","2019",0.0700933511278,
"ITA","TAXENV","POL","PC_GDP","A","2020",0.08894112279491,
"JPN","TAXENV","POL","PC_GDP","A","2017",0.00558768912649,
"JPN","TAXENV","POL","PC_GDP","A","2018",0.00541901525651,
"JPN","TAXENV","POL","PC_GDP","A","2019",0.00538103978253,
"JPN","TAXENV","POL","PC_GDP","A","2020",0.00545558057031,
"LUX","TAXENV","POL","PC_GDP","A","2017",0,
"LUX","TAXENV","POL","PC_GDP","A","2018",0,
"LUX","TAXENV","POL","PC_GDP","A","2019",0,
"LUX","TAXENV","POL","PC_GDP","A","2020",0,
"MEX","TAXENV","POL","PC_GDP","A","2017",0.0103217954387,
"NLD","TAXENV","POL","PC_GDP","A","2017",0.18343254677308,
"NLD","TAXENV","POL","PC_GDP","A","2018",0.17842677080175,
"NLD","TAXENV","POL","PC_GDP","A","2019",0.1910079930993,
"NLD","TAXENV","POL","PC_GDP","A","2020",0.20060117726058,
"NZL","TAXENV","POL","PC_GDP","A","2017",0.01188608939909,
"NZL","TAXENV","POL","PC_GDP","A","2018",0.01144479828473,
"NZL","TAXENV","POL","PC_GDP","A","2019",0.01208359001642,
"NOR","TAXENV","POL","PC_GDP","A","2017",0.08053087770347,
"NOR","TAXENV","POL","PC_GDP","A","2018",0.07840119214463,
"NOR","TAXENV","POL","PC_GDP","A","2019",0.07697410585572,
"NOR","TAXENV","POL","PC_GDP","A","2020",0.08950228729214,
"POL","TAXENV","POL","PC_GDP","A","2017",0.01025210642124,
"PRT","TAXENV","POL","PC_GDP","A","2017",0.01821306941724,
"PRT","TAXENV","POL","PC_GDP","A","2018",0.019743243228,
"PRT","TAXENV","POL","PC_GDP","A","2019",0.00553563674099,
"PRT","TAXENV","POL","PC_GDP","A","2020",0.00604385369201,
"SVK","TAXENV","POL","PC_GDP","A","2017",0.20038044736416,
"SVK","TAXENV","POL","PC_GDP","A","2018",0.19113490961603,
"SVK","TAXENV","POL","PC_GDP","A","2019",0.17997185469631,
"SVK","TAXENV","POL","PC_GDP","A","2020",0.18434981526408,
"ESP","TAXENV","POL","PC_GDP","A","2017",0.07892469759118,
"ESP","TAXENV","POL","PC_GDP","A","2018",0.07679144942453,
"ESP","TAXENV","POL","PC_GDP","A","2019",0.07562029256626,
"ESP","TAXENV","POL","PC_GDP","A","2020",0.08057414449376,
"SWE","TAXENV","POL","PC_GDP","A","2017",0.03688573665895,
"SWE","TAXENV","POL","PC_GDP","A","2018",0.0500382509735,
"SWE","TAXENV","POL","PC_GDP","A","2019",0.05026121781484,
"SWE","TAXENV","POL","PC_GDP","A","2020",0.05757498033715,
"CHE","TAXENV","POL","PC_GDP","A","2017",0.02210366268055,
